designator,quantity,value,pack,mpn,mount_type
"C1, C2, C3, C4, C5, C6, C7",7,0.1uf,C2.5-3,,tht
C8,1,0.1uf,"E2,5-5",,tht
C9,1,1uF,"E2,5-5",,tht
J1,1,MSXCART1,MSX_CART_SW_Official_3Holes,,tht
J2,1,JTAG,IDC-Header_2x05_P2.54mm_Horizontal,,tht
J3,1,ROM_SWITCH,PinHeader_2x03_P2.54mm_Vertical,,tht
J4,1,Raspberry Pi GPIO,PinSocket_2x20_P2.54mm_Vertical,,tht
"J5, J6",2,Conn_01x01_Female,PinHeader_1x01_P2.54mm_Vertical,,tht
"JP3, JP4, JP5, JP6, JP7",5,Jumper_3_Open,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,,tht
LED1,1,LED3MM,LED3MM,,tht
"R1, R2, R3, R4",4,10K,0207_7,,tht
"R5, R6",2,10k,0207_7,,tht
R7,1,470,0207_7,,tht
U1,1,LD117A,SOT-223-3_TabPin2,,smt
U2,1,EPM3064ALC44,PLCC-S44,,tht
U3,1,AT28C256,DIP-28_W15.24mm,,tht
