pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
110.49,-110.998,180.0,top,C1,,C2.5-3,0.1uf,tht,True
104.394,-104.902,-90.0,top,C2,,C2.5-3,0.1uf,tht,True
143.51,-94.996,-90.0,top,C3,,C2.5-3,0.1uf,tht,True
117.094,-102.743,90.0,top,C4,,C2.5-3,0.1uf,tht,True
134.62,-84.1756,180.0,top,C5,,C2.5-3,0.1uf,tht,True
121.412,-110.744,180.0,top,C6,,C2.5-3,0.1uf,tht,True
187.706,-101.346,90.0,top,C7,,C2.5-3,0.1uf,tht,True
123.698,-81.534,180.0,top,C8,,"E2,5-5",0.1uf,tht,True
129.54,-81.534,180.0,top,C9,,"E2,5-5",1uF,tht,True
147.828,-101.346,0.0,top,J1,,MSX_CART_SW_Official_3Holes,MSXCART1,tht,True
104.902,-87.122,90.0,top,J2,,IDC-Header_2x05_P2.54mm_Horizontal,JTAG,tht,True
193.802,-84.582,0.0,top,J3,,PinHeader_2x03_P2.54mm_Vertical,ROM_SWITCH,tht,True
194.564,-77.47,-90.0,top,J4,,PinSocket_2x20_P2.54mm_Vertical,Raspberry Pi GPIO,tht,True
129.54,-75.438,0.0,top,J5,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Female,tht,True
124.46,-75.438,0.0,top,J6,,PinHeader_1x01_P2.54mm_Vertical,Conn_01x01_Female,tht,True
147.32,-81.026,0.0,top,JP3,,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,Jumper_3_Open,tht,True
154.686,-81.026,0.0,top,JP4,,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,Jumper_3_Open,tht,True
170.18,-81.026,0.0,top,JP5,,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,Jumper_3_Open,tht,True
162.56,-81.026,0.0,top,JP6,,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,Jumper_3_Open,tht,True
177.8,-81.026,0.0,top,JP7,,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,Jumper_3_Open,tht,True
134.874,-75.438,180.0,top,LED1,,LED3MM,LED3MM,tht,True
104.902,-94.742,90.0,top,R1,,0207_7,10K,tht,True
107.442,-94.742,90.0,top,R2,,0207_7,10K,tht,True
109.982,-94.742,90.0,top,R3,,0207_7,10K,tht,True
112.522,-94.742,90.0,top,R4,,0207_7,10K,tht,True
181.7116,-108.7628,-90.0,top,R5,,0207_7,10k,tht,True
163.83,-108.966,-90.0,top,R6,,0207_7,10k,tht,True
140.208,-78.486,-90.0,top,R7,,0207_7,470,tht,True
110.236,-104.648,90.0,top,U1,,SOT-223-3_TabPin2,LD117A,smt,True
130.302,-97.536,0.0,top,U2,,PLCC-S44,EPM3064ALC44,tht,True
184.15,-87.376,-90.0,top,U3,,DIP-28_W15.24mm,AT28C256,tht,True
